7zip 26.00-1
glibc 2.43+r5+g856c426a7534-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-2
glslang 1:1.4.341.0-2
glu 9.0.3-3
glycin 2.0.8-1
gmp 6.3.0-3
gnome-autoar 0.4.5-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-3
gnome-bluetooth-3.0 47.1-3
gnome-bluetooth-debug 3.34.5+r16+g61cfff1c-3
gnome-color-manager 3.36.2-1
gnome-control-center 49.6-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-keybindings 49.6-1
gnome-keyring 1:48.0-1
gnome-online-accounts 3.56.5-1
gnome-session 49.2-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.5-1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-2
go 2:1.26.1-1
go-yq 4.52.5-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
gocryptfs 2.6.1-1
google-glog 0.7.1-2
gperf 3.3-2
gperftools 2.18.1-1
gpgme 2.0.1-3
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gradience 0.4.1_patch1-2
graphene 1.10.8-2
graphite 1:1.3.14-6
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gsound 1.0.3-4
gspell 1.14.3-1
gssdp 1.6.4-1
gst-plugin-pipewire 1:1.6.2-1
gst-plugins-bad-libs 1.28.1-2
gst-plugins-base 1.28.1-2
gst-plugins-base-libs 1.28.1-2
gst-plugins-good 1.28.1-2
gstreamer 1.28.1-2
gtest 1.17.0-2
gtk-doc 1.36.0-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.20.4-1
gtk2 2.24.33-5
gtk2-debug 2.24.33-5
gtk3 1:3.24.52-1
gtk4 1:4.20.4-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceviewmm 1:3.91.1-2
guile 3.0.11-1
gupnp 1:1.6.9-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.58.3-1
gzip 1.14-2
harfbuzz 14.0.0-2
harfbuzz-icu 14.0.0-2
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
html-xml-utils 8.7-1
html2markdown 2.5.0-1
html2markdown-debug 2.5.0-1
hunspell 1.7.2-3
hwdata 0.405-1
hwloc 2.13.0-1
hydra 9.6-1
hyphen 2.8.8-6
hyprcursor 0.1.13-5
hyprgraphics 0.5.0-3
hyprgraphics-git-debug 0.5.0.r7.g7d63c04-1
hypridle 0.1.7-8
hyprland 0.54.3-2
hyprland-guiutils 0.2.1-3
hyprland-protocols 0.7.0-1
hyprland-qt-support 0.1.0-11
hyprlang 0.6.8-3
hyprlang-git-debug 0.6.8.r5.g7615ee3-1
hyprlock 0.9.3-2
hyprpicker 0.4.6-3
hyprpolkitagent 0.1.3-6
hyprshot 1.3.0-4
hyprsunset 0.3.3-6
hyprtoolkit 0.5.3-2
hyprutils 0.12.0-1
hyprutils-git-debug 0.11.1.r2.g762166b-1
hyprwayland-scanner 0.4.5-1
hyprwayland-scanner-git-debug 0.4.5.r5.g0a692d4-1
hyprwire 0.3.0-2
i2c-tools 4.4-4
iana-etc 20260328-1
ibus 1.5.33-3
icoutils 0.32.3-4
icu 78.3-1
iio-sensor-proxy 3.9-1
ijs 0.35-6
illogical-impulse-audio 1.0-1
illogical-impulse-backlight 1.0-1
