7zip 26.00-1
mariadb-libs 12.2.2-2
matugen 4.1.0-1
md4c 0.5.2-1
mdadm 4.6-1
media-player-info 26-1
mesa 1:26.0.4-1
mesa-utils 9.0.0-7
meson 1.10.2-1
milou 6.6.3-1
minizip 1:1.3.2-3
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mlt 7.36.1-4
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.24.0-2
mongo-c-driver 1.30.7-1
movit 1.7.1-2
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.4-1
mpv 1:0.41.0-3
mpvpaper 1.8-1
mpvpaper-debug 1.8-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.9-1
muparser 2.3.5-2
mutter 49.5-1
nano 8.7.1-1
nautilus 49.5-1
nccl 2.29.7-1
ncurses 6.6-2
neofetch 7.1.0-2
neon 0.37.1-1
neovim 0.11.7-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.56.0-1
networkmanager-qt 6.24.0-2
nftables 1:1.1.6-3
ninja 1.13.2-3
nm-connection-editor 1.36.0-1
node-gyp 12.2.0-1
nodejs 25.9.0-1
nodejs-nopt 9.0.0-1
noto-fonts 1:2026.04.01-1
noto-fonts-emoji 1:2.051-1
npm 11.12.1-1
npth 1.8-1
nspr 4.38.2-1
nss 3.122-1
numactl 2.0.19-1
nvidia-open-dkms 595.58.03-1
nvidia-utils 595.58.03-1
nvm 0.40.4-1
nwg-displays 0.3.28-1
nwg-look 1.0.6-1
ocean-sound-theme 6.6.3-1
ocl-icd 2.3.4-1
onednn 3.10.2-1
onetbb 2022.3.0-4
oniguruma 6.9.10-1
openal 1.25.1-1
opencl-nvidia 595.58.03-1
opencore-amr 0.1.6-2
opencv 4.13.0-4
openexr 3.4.9-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.26.3-3
openmp 22.1.2-1
openmpi 5.0.10-2
openpmix 5.0.10-1
openssh 10.3p1-1
openssl 3.6.1-1
openucx 1.20.0-3
openxr 1.1.57-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.42-1
osinfo-db 20251212-1
ostree 2025.7-3
otf-space-grotesk 2-2
oxygen 6.6.3-1
oxygen-cursors 6.6.3-1
oxygen-icons 1:6.1.0-2
oxygen-sounds 6.6.3-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260213-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.1-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
papirus-folders-catppuccin-git r30.f83671d1-2
papirus-icon-theme 20250501-1
parallel 20260322-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.2-1
pavucontrol-qt 2.3.0-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.1-1
perl-clone 0.50-1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-html-parser 3.83-2
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.16-6
perl-http-date 6.06-5
perl-http-message 7.01-2
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-libwww 6.82-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-net-http 6.24-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.34-2
perl-www-robotrules 6.02-16
pinentry 1.3.2-2
pipewire 1:1.6.2-1
pipewire-alsa 1:1.6.2-1
pipewire-audio 1:1.6.2-1
pipewire-jack 1:1.6.2-1
pipewire-pulse 1:1.6.2-1
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.6.3-1
plasma-activities-stats 6.6.3-1
plasma-browser-integration 6.6.3-1
plasma-desktop 6.6.3-2
plasma-disks 6.6.3-1
plasma-firewall 6.6.3-1
plasma-integration 6.6.3-3
plasma-keyboard 6.6.3-1
plasma-login-manager 6.6.3-1
plasma-meta 6.6-1
plasma-nm 6.6.3-1
plasma-pa 6.6.3-1
plasma-systemmonitor 6.6.3-1
plasma-thunderbolt 6.6.3-1
plasma-vault 6.6.3-1
plasma-welcome 6.6.3-1
plasma-workspace 6.6.3-2
plasma-workspace-wallpapers 6.6.3-1
plasma5support 6.6.3-1
playerctl 2.4.1-5
polkit 127-3
polkit-gnome 0.105-12
polkit-kde-agent 6.6.3-1
polkit-qt5 0.200.0-2
polkit-qt6 0.200.0-2
poppler 26.03.0-1
poppler-data 0.4.12-2
poppler-glib 26.03.0-1
poppler-qt6 26.03.0-1
popt 1.19-2
portaudio 1:19.7.0-4
postgresql-libs 18.3-2
potrace 1.16-4
powerdevil 6.6.3-1
ppp 2.5.2-1
print-manager 1:6.6.3-1
prison 6.24.0-2
procps-ng 4.0.6-1
protobuf 34.1-1
protobuf-c 1.5.2-9
prrte 3.0.13-1
psmisc 23.7-1
pugixml 1.15-3
pulseaudio-alsa 1:1.2.12-5
pulseaudio-qt 1.8.1-1
purpose 6.24.0-2
pybind11 3.0.3-1
python 3.14.3-1
python-anyascii 0.3.3-1
python-argcomplete 3.6.3-1
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-brotli 1.2.0-1
python-build 1.4.2-1
python-cachecontrol 1:0.14.4-3
python-cachy 0.3.0-12
python-cairo 1.29.0-2
python-certifi 2026.02.25-1
python-cffi 2.0.0-2
python-charset-normalizer 3.4.7-1
python-cleo 1:2.1.0-2
python-click 8.3.2-1
python-colorama 0.4.6-6
python-contourpy 1.3.3-3
python-crashtest 0.4.1-5
python-cryptography 46.0.6-1
python-cssselect2 0.9.0-1
python-cycler 0.12.1-4
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-dbusmock 0.38.1-1
python-distlib 0.4.0-2
python-distro 1.9.0-4
python-docopt 0.6.2-15
python-dulwich 1.1.0-1
python-fastjsonschema 2.21.2-2
python-filelock 3.25.2-1
python-findpython 0.7.1-2
python-flit-core 3.12.0-4
python-fonttools 4.62.1-1
python-fsspec 2026.3.0-1
python-gmpy2 2.3.0-1
python-gobject 3.54.5-2
python-html2text 2025.4.15-2
python-html5lib 1.1-17
python-i3ipc 2.2.1-9
python-idna 3.11-2
python-iniconfig 2.3.0-1
python-installer 0.7.0-14
python-jaraco.classes 3.4.0-3
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jeepney 0.9.0-3
python-jinja 1:3.1.6-3
python-jsonschema 4.26.0-1
python-jsonschema-specifications 2025.9.1-2
python-keyring 25.7.0-3
python-keyutils 0.6-12
python-kiwisolver 1.4.9-1
python-lark-parser 1.3.1-2
python-libsass 0.23.0-6
python-lxml 6.0.2-2
python-mako 1.3.10-4
python-markdown 3.10.2-1
python-markupsafe 3.0.3-1
python-material-color-utilities 0.1.5-1
python-matplotlib 3.10.8-5
python-more-itertools 11.0.1-1
python-mpmath 1.4.1-1
python-msgpack 1.1.2-2
python-networkx 3.6.1-1
python-numpy 2.4.4-1
python-packaging 26.0-1
python-pandas 2.3.3-2
python-pbs-installer 2026.03.25-1
python-pexpect 4.9.0-7
python-pillow 12.2.0-1
python-pip 26.0.1-1
python-pipx 1.11.1-1
python-pkg_resources 81.0.0-1
python-pkginfo 1.12.1.2-2
python-platformdirs 4.9.4-1
python-pluggy 1.6.0-3
python-poetry 2.3.3-1
python-poetry-core 2.3.2-1
python-poetry-plugin-export 1.10.0-1
python-pooch 1.9.0-1
python-psutil 7.2.2-1
python-ptyprocess 0.7.0-9
python-pycparser 3.00-1
python-pydyf 0.12.1-2
python-pygdbmi 0.11.0.0-6
python-pygments 2.20.0-1
python-pyparsing 3.3.2-1
python-pyphen 0.17.2-2
python-pyproject-hooks 1.2.0-6
python-pytest 1:9.0.2-1
python-python-discovery 1.2.1-1
python-pytorch-opt-cuda 2.11.0-2
python-pytz 2026.1-1
python-pywal 3.3.0-11
python-pywayland 0.4.18-3
python-pyxdg 0.28-7
python-rapidfuzz 3.14.3-3
python-referencing 0.37.0-3
python-regex 2026.4.4-1
python-reportlab 4.4.10-2
python-requests 2.33.1-1
python-requests-toolbelt 1.0.0-6
python-rpds-py 0.30.0-3
python-scipy 1.17.1-1
python-secretstorage 3.5.0-1
python-sentry_sdk 2.57.0-1
python-setproctitle 1.3.7-2
python-setuptools 1:82.0.1-1
python-setuptools-scm 10.0.5-1
python-shellingham 1.5.4-4
python-six 1.17.0-3
python-svglib 1.6.0-2
python-sympy 1.14.0-6
python-tinycss2 1.5.1-2
python-tinyhtml5 2.1.0-1
python-tomlkit 0.14.0-1
python-tqdm 4.67.3-1
python-trove-classifiers 2026.1.14.14-1
python-typing_extensions 4.15.0-3
python-urllib3 2.6.3-1
python-userpath 1.9.2-4
python-vcs-versioning 1.1.1-1
python-virtualenv 21.2.0-1
python-weasyprint 68.1-1
python-webencodings 0.5.1-13
python-wheel 0.46.3-1
python-xlib 0.33-6
python-yaml 6.0.3-2
python-yapsy-git release_Yapsy.1.12.2.r17.g6b487b0-1
python-zopfli 0.4.1-1
pywal-discord-git r100.6f968df-1
qbittorrent 5.1.4-2
qca-qt6 2.3.10-5
qcoro 0.13.0-1
qhull 2020.2-5
qpdf 12.3.2-2
qqc2-breeze-style 6.6.3-1
qqc2-desktop-style 6.24.0-2
qrencode 4.1.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-graphicaleffects 5.15.18-1
qt5-imageformats 5.15.18+kde+r2-1
qt5-multimedia 5.15.18+kde+r2-1
qt5-quickcontrols 5.15.18-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt5-sensors 5.15.18-1
qt5-speech 5.15.18+kde+r1-1
qt5-svg 5.15.18+kde+r5-1
qt5-tools 5.15.18+kde+r3-2
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt5ct 1.9-1
qt6-5compat 6.11.0-1
qt6-avif-image-plugin 0.10.1-1
qt6-base 6.11.0-2
qt6-charts 6.11.0-1
qt6-declarative 6.11.0-1
qt6-imageformats 6.11.0-1
qt6-location 6.11.0-1
qt6-multimedia 6.11.0-1
qt6-multimedia-ffmpeg 6.11.0-1
qt6-positioning 6.11.0-1
qt6-quick3d 6.11.0-1
qt6-quicktimeline 6.11.0-1
qt6-sensors 6.11.0-1
qt6-shadertools 6.11.0-1
qt6-speech 6.11.0-1
qt6-svg 6.11.0-2
qt6-tools 6.11.0-2
qt6-translations 6.11.0-1
qt6-virtualkeyboard 6.11.0-1
qt6-wayland 6.11.0-1
qt6-webchannel 6.11.0-1
qt6-webengine 6.11.0-2
qt6-websockets 6.11.0-1
qt6-webview 6.11.0-1
qt6ct 0.11-5
qtkeychain-qt6 0.15.0-4
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
re2 2:2025.11.05-3
readline 8.3.003-1
redland 1:1.0.17-9
resvg 0.47.0-2
rhash 1.4.6-1
ripgrep 15.1.0-2
ripgrep-all 0.10.10-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rsync 3.4.1-2
rtkit 0.14-1
rubberband 4.0.0-2
ruby 3.4.8-2
ruby-erb 4.0.4-9
rubygems 3.6.9-1
runc 1.4.2-1
rust 1:1.94.1-1
sassc 3.6.2-5
satty 0.20.1-2
sbc 2.2-1
scdoc 1.11.4-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdl2-compat 2.32.66-1
sdl2_image 2.8.10-1
sdl2_mixer 2.8.1-2
sdl2_ttf 2.24.0-2
sdl3 3.4.4-1
sdl3_ttf 3.2.2-3
seatd 0.9.3-1
sed 4.9-3
semver 7.7.4-1
serd 0.32.8-1
serf 1.3.10-2
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
shotcut 26.2.26-1
signon-kwallet-extension 25.12.3-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simdjson 1:4.6.0-1
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.24.0-1
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.1-1
solid 6.24.0-2
solid5 5.116.0-2
songrec 0.6.7-2
sonnet 6.24.0-2
sonnet5 5.116.0-2
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-17
spandsp 0.0.6-7
spdlog 1.17.0-2
spectacle 1:6.6.3-2
speex 1.2.1-2
speexdsp 1.2.1-2
spicetify-cli 2.43.1-2
spicetify-cli-debug 2.43.1-2
spirv-tools 1:1.4.341.0-2
spotify 1:1.2.86.502-1
spotify-adblock 1:1.0.3-2
spotify-tray-git-debug 1.3.2.r15.g6965ff0-1
sqlite 3.52.0-1
sqlmap 1.10.3-1
sratom 0.6.22-1
srt 1.5.4-1
sshpass 1.10-2
starship 1.24.2-2
startup-notification 0.12-9
steam 1.0.0.85-6
steam-devices 1.0.0.85-6
subversion 1.14.5-5
sudo 1.9.17.p2-2
svt-av1 4.1.0-1
swappy 1.8.0-1
swayosd 0.3.1-1
syndication 6.24.0-2
syntax-highlighting 6.24.0-2
systemd 260.1-1
systemd-libs 260.1-1
systemd-sysvcompat 260.1-1
systemsettings 6.6.3-1
taglib 2.2.1-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
tecla 49.0-1
tesseract 5.5.2-1
tesseract-data-eng 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.17.1-2
texinfo 7.2-1
tinysparql 3.10.1-2
tinyxml2 11.0.0-2
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
translate-shell 0.9.7.1-2
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.5.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.8.1-2
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-gabarito-git v1.000.r8.g1f3fb39-1
ttf-hack 3.003-7
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-material-symbols-variable-git 4.0.0.r150.gf2749dae-1
ttf-readex-pro 1.204-2
ttf-rubik-vf 2.3.0-3
ttf-space-mono-nerd 3.4.0-2
ttf-twemoji 17.0.2-3
tty-clock 2.3-2
tty-clock-debug 2.3-2
twolame 0.4.0-4
typescript 5.9.3-2
tzdata 2026a-1
uchardet 0.0.8-4
udiskie 2.6.2-1
udisks2 2.11.1-2
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.2-1
upscayl-bin 2.15.0-8
usbutils 019-1
util-linux 2.42-1
util-linux-libs 2.42-1
uv 0.11.3-1
uwsm 0.26.4-1
v4l-utils 1.32.0-2
vapoursynth 73-2
verdict 1.4.4-1
vid.stab 1.1.1-2
vim 9.2.0283-1
vim-runtime 9.2.0283-1
virglrenderer 1.2.0-1
visual-studio-code-bin 1.113.0-1
vmaf 3.1.0-1
volume_key 0.3.12-12
vulkan-headers 1:1.4.341.0-1
vulkan-icd-loader 1.4.341.0-1
vulkan-tools 1.4.341.0-2
w3m 0.5.6-1
wavpack 5.9.0-1
wayland 1.24.0-1
wayland-protocols 1.48-1
wayland-utils 1.3.0-1
webkit2gtk-4.1 2.50.6-1
webkitgtk-6.0 2.50.6-1
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-5
wf-recorder 0.6.0-1
wget 1.25.0-3
which 2.23-1
whois 5.6.6-1
winboat-bin 0.9.0-1
wine 11.6-1
winetricks 20260125-1
wireplumber 0.5.14-1
wireshark-cli 4.6.4-2
wireshark-qt 4.6.4-2
wl-clip-persist 0.5.0-2
wl-clipboard 1:2.3.0-1
wlogout 1.2.2-0
wlogout-debug 1.2.2-0
woff2 1.0.2-6
wpa_supplicant 2:2.11-5
wtype 0.4-2
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapp 3.2.2-1
xapp-symbolic-icons 1.0.9-1
xboxdrv 0.8.14-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcur2png 0.7.1-8
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-gnome 49.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-4
xdg-desktop-portal-kde 6.6.3-1
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xdotool 4.20260303.1-1
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.47-1
xmlsec 1.3.10-1
xone-dkms-git 0.5.8.r0.gf2aa9fe-1
xone-dongle-firmware 2.0.0-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-server-xvfb 21.1.21-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xkbcomp 1.5.0-1
xorg-xmessage 1.0.7-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xwayland 24.1.9-1
xorgproto 2025.1-1
xsettingsd 1.0.2-3
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.3-1
yad 14.2-1
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
ydotool 1.0.4-2
yyjson 0.12.0-1
zen-browser-bin 1.19.8b-1
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-1
zint 2.16.0-1
zip 3.0-11
zix 0.8.0-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zopfli 1.0.3-4
zstd 1.5.7-3
zxing-cpp 3.0.2-1
